,Name,Country,Industry,Market_Cap,SuppPercRev,SuppPerCost
1,Hon Hai Precision Ind,TW,Technology Hardware & Equipm,48020.0,0.5033,0.32942
2,Pegatron Corp,TW,Technology Hardware & Equipm,7550.0,0.4886,0.11102
3,Intel Corp,US,Semiconductors & Semiconduct,143170.0,0.0904,0.03528
4,Sharp Corp/Japan,JP,Consumer Durables & Apparel,2260.0,0.198,0.02751
5,LG Display Co Ltd,KR,Technology Hardware & Equipm,7950.0,0.1431,0.02562
6,Jabil Circuit Inc,US,Technology Hardware & Equipm,4090.0,0.18,0.01771
7,Compal Electronics In,TW,Technology Hardware & Equipm,3390.0,0.1337,0.01708
8,QUALCOMM Inc,US,Technology Hardware & Equipm,102540.0,0.0904,0.01624
9,Samsung Electronics C,KR,Technology Hardware & Equipm,169960.0,0.0081,0.01309
11,Japan Display Inc,JP,Technology Hardware & Equipm,2220.0,0.31,0.01218
10,Murata Manufacturing,JP,Technology Hardware & Equipm,39250.0,0.2169,0.01218
12,TPK Holding Co Ltd,TW,Technology Hardware & Equipm,2100.0,0.4139,0.01127
13,Toshiba Corp,JP,Capital Goods,14330.0,0.0232,0.01022
14,SK Hynix Inc,KR,Semiconductors & Semiconduct,27220.0,0.0904,0.01015
15,Daikin Industries Ltd,JP,Capital Goods,21770.0,0.0812,0.01015
16,Sony Corp,JP,Consumer Durables & Apparel,33300.0,0.0191,0.00938
17,Taiwan Semiconducto,TW,Semiconductors & Semiconduct,118680.0,0.0822,0.00924
18,Micron Technology In,US,Semiconductors & Semiconduct,20310.0,0.0748,0.00917
19,AU Optronics Corp,TW,Technology Hardware & Equipm,4360.0,0.0904,0.00861
20,Eaton Corp PLC,US,Capital Goods,31590.0,0.0557,0.00854
21,Texas Instruments In,US,Semiconductors & Semiconduct,54010.0,0.0904,0.00847
22,SanDisk Corp,US,Technology Hardware & Equipm,11730.0,0.19,0.00728
23,Wistron Corp,TW,Technology Hardware & Equipm,1920.0,0.0719,0.007
24,Broadcom Corp,US,Semiconductors & Semiconduct,31040.0,0.14,0.00679
25,Seagate Technology P,US,Technology Hardware & Equipm,15100.0,0.0633,0.00644
26,Western Digital Corp,US,Technology Hardware & Equipm,18340.0,0.057,0.00602
27,Asahi Glass Co Ltd,JP,Capital Goods,7130.0,0.0671,0.00581
28,Vivendi SA,FR,Media,35010.0,0.1005,0.00574
29,Flextronics Internatio,US,Technology Hardware & Equipm,6380.0,0.0522,0.00574
30,Advanced Semiconduc,TW,Semiconductors & Semiconduct,10610.0,0.0904,0.00539
31,Quanta Computer Inc,TW,Technology Hardware & Equipm,9000.0,0.0394,0.00525
32,Dialog Semiconductor,DE,Semiconductors & Semiconduct,4350.0,0.7803,0.00497
