,Name,Country,Industry,Market_Cap,CustPercRev,CustPerCost,Country2,Latitude,Longitude
1,Verizon Communicatio,US,Telecommunication Services,192550,0.0729,0.2508,United States of America,38.9,-77.04
2,AT&T Inc,US,Telecommunication Services,185600,0.0598,0.1958,United States of America,38.9,-77.04
3,Best Buy Co Inc,US,Retailing,11790,0.0283,0.1643,United States of America,38.9,-77.04
4,Sprint Corp,US,Telecommunication Services,17780,0.0272,0.239,United States of America,38.9,-77.04
5,SoftBank Group Corp,JP,Telecommunication Services,69760,0.0267,0.0902,Japan,35.69,139.69
6,Telefonica SA,ES,Telecommunication Services,70660,0.0222,0.1127,Spain,40.42,-3.7
7,KDDI Corp,JP,Telecommunication Services,64410,0.0222,0.1053,Japan,35.69,139.69
8,Vodafone Group PLC,GB,Telecommunication Services,97640,0.0213,0.1168,United Kingdom of Great Britain and Northern Ireland,51.51,-0.13
9,Ingram Micro Inc,US,Technology Hardware & Equipment,3930,0.0207,0.12,United States of America,38.9,-77.04
10,NTT DOCOMO Inc,JP,Telecommunication Services,80370,0.0197,0.1738,Japan,35.69,139.69
11,Amazon.com Inc,US,Retailing,202530,0.0181,0.0522,United States of America,38.9,-77.04
12,Tech Data Corp,US,Technology Hardware & Equipment,2110,0.0154,0.16,United States of America,38.9,-77.04
13,America Movil SAB de,MX,Telecommunication Services,70710,0.0148,0.0972,Mexico,19.43,-99.13
14,Shenzhen Aisidi Co Lt,CN,Technology Hardware & Equipment,N/A,0.0132,0.3722,China,39.91,116.4
15,Deutsche Telekom AG,DE,Telecommunication Services,79200,0.0122,0.0651,Germany,52.52,13.41
16,T-Mobile US Inc,US,Telecommunication Services,31320,0.0118,0.12,United States of America,38.9,-77.04
17,Carrefour SA,FR,Food & Staples Retailing,23360,0.0107,0.0443,France,48.85,2.35
18,China Mobile Ltd,HK,Telecommunication Services,264920,0.0091,0.0252,Hong Kong,22.29,114.16
19,KT Corp,KR,Telecommunication Services,6670,0.0089,0.0687,Korea (Republic of),37.57,126.98
20,Orange SA,FR,Telecommunication Services,41620,0.0086,0.049,France,48.85,2.35
21,China Unicom Hong Ko,HK,Telecommunication Services,37440,0.0067,0.0356,Hong Kong,22.29,114.16
22,Telenor ASA,NO,Telecommunication Services,32630,0.0064,0.0768,Norway,59.91,10.75
23,SYNNEX Corp,US,Technology Hardware & Equipment,2890,0.0064,0.0766,United States of America,38.9,-77.04
24,SK Telecom Co Ltd,KR,Telecommunication Services,17450,0.0062,0.0719,Korea (Republic of),37.57,126.98
25,Telecom Italia SpA,IT,Telecommunication Services,23280,0.0058,0.0686,Italy,41.89,12.48
26,Wal-Mart Stores Inc,US,Food & Staples Retailing,231330,0.0056,0.0027,United States of America,38.9,-77.04
27,Bharti Airtel Ltd,IN,Telecommunication Services,27330,0.0054,0.0726,India,28.64,77.22
28,Emirates Telecommun,AE,Telecommunication Services,32200,0.005,0.0902,United Arab Emirates,24.47,54.37
30,China Telecom Corp L,CN,Telecommunication Services,47090,0.0047,0.023,China,39.91,116.4
29,Vivendi SA,FR,Media,34770,0.0047,0.049,France,48.85,2.35
31,BCE Inc,CA,Telecommunication Services,36300,0.0045,0.0474,Canada,45.41,-75.7
32,Tesco PLC,GB,Food & Staples Retailing,26610,0.0044,0.0076,United Kingdom of Great Britain and Northern Ireland,51.51,-0.13
33,Koninklijke KPN NV,NL,Telecommunication Services,15910,0.0041,0.0802,Netherlands,52.37,4.89
