,Name,Country,Industry,Market_Cap,SuppPercRev,SuppPerCost,Country2,Latitude,Longitude
32,Dialog Semiconductor,DE,Semiconductors & Semiconduct,4350,0.7803,0.00497,Germany,52.52,13.41
58,Multi-Fineline Electro,US,Technology Hardware & Equipm,536,0.76,0.0028,United States of America,38.9,-77.04
44,Cirrus Logic Inc,US,Semiconductors & Semiconduct,2140,0.72,0.00364,United States of America,38.9,-77.04
1,Hon Hai Precision Ind,TW,Technology Hardware & Equipm,48020,0.5033,0.32942,"Taiwan, Province of China",25.05,121.53
47,Nissha Printing Co Ltd,JP,Commercial & Professional Ser,758,0.499,0.00357,Japan,35.69,139.69
2,Pegatron Corp,TW,Technology Hardware & Equipm,7550,0.4886,0.11102,"Taiwan, Province of China",25.05,121.53
12,TPK Holding Co Ltd,TW,Technology Hardware & Equipm,2100,0.4139,0.01127,"Taiwan, Province of China",25.05,121.53
68,Casetek Holdings Ltd,TW,Technology Hardware & Equipm,2090,0.4011,0.0021,"Taiwan, Province of China",25.05,121.53
98,COLOPL Inc,JP,Software & Services,2520,0.37,0.00119,Japan,35.69,139.69
52,AAC Technologies Hol,CN,Technology Hardware & Equipm,6760,0.351,0.00294,China,39.91,116.4
42,Foster Electric Co Ltd,JP,Consumer Durables & Apparel,617,0.344,0.00371,Japan,35.69,139.69
11,Japan Display Inc,JP,Technology Hardware & Equipm,2220,0.31,0.01218,Japan,35.69,139.69
70,Largan Precision Co L,TW,Technology Hardware & Equipm,16080,0.2911,0.00196,"Taiwan, Province of China",25.05,121.53
49,Catcher Technology C,TW,Technology Hardware & Equipm,9790,0.2522,0.00343,"Taiwan, Province of China",25.05,121.53
10,Murata Manufacturing,JP,Technology Hardware & Equipm,39250,0.2169,0.01218,Japan,35.69,139.69
84,TTM Technologies Inc,US,Technology Hardware & Equipm,983,0.21,0.00161,United States of America,38.9,-77.04
69,GoerTek Inc,CN,Technology Hardware & Equipm,7990,0.2046,0.00203,China,39.91,116.4
93,Knowles Corp,US,Technology Hardware & Equipm,1580,0.2,0.00133,United States of America,38.9,-77.04
36,Wintek Corp,TW,Technology Hardware & Equipm,N/A,0.1991,0.00427,"Taiwan, Province of China",25.05,121.53
4,Sharp Corp/Japan,JP,Consumer Durables & Apparel,2260,0.198,0.02751,Japan,35.69,139.69
22,SanDisk Corp,US,Technology Hardware & Equipm,11730,0.19,0.00728,United States of America,38.9,-77.04
6,Jabil Circuit Inc,US,Technology Hardware & Equipm,4090,0.18,0.01771,United States of America,38.9,-77.04
78,Synaptics Inc,US,Semiconductors & Semiconduct,3080,0.18,0.00175,United States of America,38.9,-77.04
94,Gree Inc,JP,Software & Services,1380,0.168,0.00126,Japan,35.69,139.69
5,LG Display Co Ltd,KR,Technology Hardware & Equipm,7950,0.1431,0.02562,Korea (Republic of),37.57,126.98
24,Broadcom Corp,US,Semiconductors & Semiconduct,31040,0.14,0.00679,United States of America,38.9,-77.04
7,Compal Electronics In,TW,Technology Hardware & Equipm,3390,0.1337,0.01708,"Taiwan, Province of China",25.05,121.53
37,NXP Semiconductors N,NL,Semiconductors & Semiconduct,24580,0.1007,0.00406,Netherlands,52.37,4.89
28,Vivendi SA,FR,Media,35010,0.1005,0.00574,France,48.85,2.35
3,Intel Corp,US,Semiconductors & Semiconduct,143170,0.0904,0.03528,United States of America,38.9,-77.04
8,QUALCOMM Inc,US,Technology Hardware & Equipm,102540,0.0904,0.01624,United States of America,38.9,-77.04
21,Texas Instruments In,US,Semiconductors & Semiconduct,54010,0.0904,0.00847,United States of America,38.9,-77.04
14,SK Hynix Inc,KR,Semiconductors & Semiconduct,27220,0.0904,0.01015,Korea (Republic of),37.57,126.98
71,Analog Devices Inc,US,Semiconductors & Semiconduct,20250,0.0904,0.00196,United States of America,38.9,-77.04
79,Skyworks Solutions In,US,Semiconductors & Semiconduct,19860,0.0904,0.00175,United States of America,38.9,-77.04
57,Amphenol Corp,US,Technology Hardware & Equipm,17750,0.0904,0.0028,United States of America,38.9,-77.04
38,Delta Electronics Inc,TW,Technology Hardware & Equipm,12650,0.0904,0.00406,"Taiwan, Province of China",25.05,121.53
51,NVIDIA Corp,US,Semiconductors & Semiconduct,10980,0.0904,0.00294,United States of America,38.9,-77.04
30,Advanced Semiconduc,TW,Semiconductors & Semiconduct,10610,0.0904,0.00539,"Taiwan, Province of China",25.05,121.53
66,Rohm Co Ltd,JP,Semiconductors & Semiconduct,7560,0.0904,0.00217,Japan,35.69,139.69
35,Samsung SDI Co Ltd,KR,Technology Hardware & Equipm,6900,0.0904,0.00448,Korea (Republic of),37.57,126.98
19,AU Optronics Corp,TW,Technology Hardware & Equipm,4360,0.0904,0.00861,"Taiwan, Province of China",25.05,121.53
39,Samsung Electro-Mech,KR,Technology Hardware & Equipm,3420,0.0904,0.00406,Korea (Republic of),37.57,126.98
48,Advanced Micro Devic,US,Semiconductors & Semiconduct,1880,0.0904,0.00343,United States of America,38.9,-77.04
